,Major,Degree Type,Early Career Pay,Mid Career Pay,High Meaning
327,Environmental Health,Bachelors,"$50,000","$89,100",65%
328,Agricultural Science,Bachelors,"$48,900","$88,900",59%
329,Agronomy,Bachelors,"$50,200","$88,900",65%
330,International Studies,Bachelors,"$50,000","$88,900",51%
331,Design,Bachelors,"$52,800","$88,800",40%
332,Applied Science,Bachelors,"$46,400","$88,700",-
333,Architectural Engineering Technology,Bachelors,"$52,200","$88,700",59%
334,German Language,Bachelors,"$50,700","$88,700",41%
335,Technology,Bachelors,"$56,200","$88,600",64%
336,Advertising & Promotion,Bachelors,"$46,100","$88,500",46%
337,Pre-law,Bachelors,"$46,800","$88,400",45%
338,Digital Media,Bachelors,"$47,300","$88,200",38%
339,Biological Anthropology,Bachelors,"$46,200","$88,100",49%
340,Personal Financial Planning,Bachelors,"$53,800","$88,100",60%
341,Professional Pilot Education,Bachelors,"$63,700","$88,000",-
342,Textile Technology,Bachelors,"$54,000","$88,000",42%
343,Web & Digital Media Development,Bachelors,"$52,300","$88,000",33%
344,Entrepreneurial Studies,Bachelors,"$48,700","$87,900",37%
345,Fashion Design,Bachelors,"$47,500","$87,700",27%
346,Retailing,Bachelors,"$51,300","$87,600",35%
347,Business Communication,Bachelors,"$50,900","$87,300",47%
348,Environmental Science,Bachelors,"$49,100","$87,300",59%
349,Product Design Engineering,Bachelors,"$65,500","$87,200",35%
350,English Literature,Bachelors,"$47,700","$87,000",45%
351,Logistics,Bachelors,"$57,600","$87,000",41%
352,Math & Science,Bachelors,"$55,600","$86,900",66%
353,International Trade & Business,Bachelors,"$54,800","$86,800",27%
354,Pre-Medicine,Bachelors,"$50,800","$86,800",67%
355,Speech & Drama,Bachelors,"$37,500","$86,800",-
356,Toxicology,Bachelors,"$44,600","$86,800",-
357,Advertising & Marketing,Bachelors,"$49,000","$86,700",38%
358,Geographic Information Systems (GIS) & Spatial Analysis,Bachelors,"$54,000","$86,700",57%
359,Marketing & Mass Communications,Bachelors,"$45,400","$86,700",41%
360,Welding Technology,Bachelors,"$48,400","$86,700",-
361,General Business,Bachelors,"$50,200","$86,600",51%
362,Construction Engineering Technology,Bachelors,"$55,800","$86,400",53%
363,Architectural Studies,Bachelors,"$45,400","$86,400",42%
364,Aviation Maintenance Technology,Bachelors,"$51,000","$86,300",60%
365,Communication Studies & Journalism,Bachelors,"$44,800","$86,200",47%
366,Management,Bachelors,"$51,600","$86,200",48%
367,General Science,Bachelors,"$49,100","$86,100",60%
368,Magazine Journalism,Bachelors,"$46,800","$86,100",32%
369,Electronics & Computer Technology,Bachelors,"$55,600","$86,000",-
370,Theatre & Drama Studies,Bachelors,"$44,800","$86,000",49%
371,Animation,Bachelors,"$45,000","$85,900",35%
372,Biology & Chemistry,Bachelors,"$49,200","$85,900",66%
373,Diagnostic Medical Ultrasound,Bachelors,"$67,700","$85,900",67%
374,History & Politics,Bachelors,"$49,500","$85,900",51%
375,Public Affairs,Bachelors,"$52,700","$85,900",50%
376,Romance Languages,Bachelors,"$53,000","$85,900",53%
377,Physiology,Bachelors,"$49,300","$85,900",63%
378,Corporate Communications,Bachelors,"$48,500","$85,700",42%
379,International Affairs,Bachelors,"$51,600","$85,700",52%
380,Nursing Science,Bachelors,"$66,800","$85,700",84%
381,Organizational Development,Bachelors,"$53,800","$85,700",54%
382,Textile & Apparel Studies,Bachelors,"$47,100","$85,700",30%
383,Business Administration,Bachelors,"$52,800","$85,600",50%
384,Business Administration & Accounting,Bachelors,"$52,400","$85,600",55%
385,Philosophy & Religion,Bachelors,"$43,800","$85,600",55%
386,Architectural Design,Bachelors,"$47,700","$85,400",60%
387,Textile Design,Bachelors,"$50,000","$85,200",43%
388,Interpersonal & Organizational Communication,Bachelors,"$42,400","$85,200",56%
